date,Convertible Arbitrage,CTA Global,Distressed Securities,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Merger Arbitrage,Relative Value,Short Selling,Funds Of Funds
Jun-03,-0.58,-1.92,2.67,2.68,0.34,1.81,0.44,0.56,1.28,0.48,0.71,-1.62,0.68
Jul-03,-0.72,-1.71,1.17,1.04,-0.06,1.19,-0.92,-0.35,1.18,0.53,0.41,-3.61,0.25
Aug-03,-0.87,0.78,1.37,3.74,0.31,1.33,0.43,2.02,1.79,0.7,0.58,-3.54,0.78
Sep-03,1.71,-0.19,2.42,2.64,0.78,1.33,1.05,2.15,0.94,0.77,0.86,1.36,1.21
Oct-03,1.46,1.04,2.67,2.59,1.15,1.91,0.35,1.11,2.99,1.11,1.59,-6.56,1.52
Nov-03,0.92,0.18,1.54,0.96,0.46,1.16,0.69,0.31,1.3,0.44,1.02,-1.36,0.7
Dec-03,0.54,3.81,1.98,4.03,0.54,1.72,1.01,2.93,1.91,0.98,1.27,-1.78,1.39
Jan-04,1.19,1.99,3.01,2.51,1.09,2.34,0.92,1.17,1.92,0.97,1.46,-0.9,1.56
Feb-04,0.17,5.29,0.75,2.53,0.63,1.13,0.84,1.5,1.23,0.51,0.57,0.18,1.11
Mar-04,0.61,-0.51,0.46,1.72,0.32,0.16,0.03,0.64,0.41,0.17,0.38,-1.48,0.43
Apr-04,0.2,-5.32,0.93,-2.52,-0.82,0.02,0.62,-1.78,-1.65,-0.39,-0.45,3.84,-0.68
May-04,-1.28,-1.18,-0.1,-1.81,0.24,-0.23,0.4,-0.81,-0.35,0,-0.37,-0.24,-0.82
Jun-04,-1.06,-3.16,2.02,0.2,0.42,1.13,0.55,-0.19,0.91,0.17,0.22,-0.51,0.34
Jul-04,0.13,-1.19,0.19,-0.27,0.06,-0.82,0.62,-0.14,-1.54,-0.92,0.07,6.38,-0.49
Aug-04,0.4,-0.84,0.88,1.33,-0.09,0.35,0.36,-0.39,-0.22,0.11,0.31,1.26,-0.1
Sep-04,-0.17,2.2,1.04,2.8,0.85,1.03,0.12,0.08,2.1,0.42,0.52,-2.16,0.99
Oct-04,-0.44,3.58,1.43,1.85,-0.05,1.24,0.28,1.38,0.74,0.74,0.4,-0.92,0.68
Nov-04,0.81,4.75,3.37,3.28,1.4,3.06,0.75,2.8,3.08,1.64,1.49,-5.74,2.44
Dec-04,0.56,0,2.66,2.01,0.58,2.44,0.6,0.33,1.78,1.33,0.99,-3.91,1.45
Jan-05,-0.96,-4.38,0.37,1.43,0.81,0.04,0.44,-0.47,-0.17,0,0.12,3.87,0.06
Feb-05,-0.58,0.05,1.34,3.46,0.8,1.44,0.85,1.71,2.1,0.65,0.81,1.18,1.36
Mar-05,-1.4,-0.06,0.32,-1.97,0.19,-0.04,0.24,-0.27,-0.96,0.32,-0.42,2.44,-0.44
Apr-05,-3.16,-3.54,-0.52,-0.49,-0.3,-1.28,-0.03,-0.8,-1.84,-1.05,-1.08,3.93,-1.41
May-05,-1.33,2.32,0.06,0.72,0.47,0.65,-0.1,0.88,1.15,0.95,-0.02,-4.75,0.18
Jun-05,1.07,2.6,1.33,1.6,0.81,1.33,0.1,1.16,1.95,0.85,0.95,-0.32,1.31
Jul-05,1.64,-0.13,1.73,2.57,0.78,2.15,0.81,1.19,2.65,1.15,1.49,-2.42,1.34
Aug-05,0.66,1,1.24,1.52,0.62,0.92,0.36,0.83,0.97,0.61,0.53,2.59,0.79
Sep-05,1.42,0.79,1.12,4.02,0.87,1,0.62,2.69,2.22,0.35,1.22,1.98,1.47
Oct-05,-0.15,-0.92,-0.32,-2.3,0.01,-1.73,0.57,-0.74,-1.74,-1.45,-0.38,2.33,-1.49
Nov-05,0.04,3.79,1,2.79,0.61,1.25,0.15,1.64,2.11,1.12,0.67,-3,1.6
Dec-05,0.92,-1.53,1.22,2.84,0.68,1.42,0.54,1.35,2.49,1.38,1.26,-0.35,1.91
